Munkanev;irodai
informatikus;1
programozó;1
földműves;0
biztonsági őr;0
vendéglátás;0
testnevelő;0
tanár;1
ételfutár;0
festőművész;1
szülésznő;1
műszaki szerelő;0
cég felszámolás;1
fodrász;1
gyári segédmunkás;1
állatorvos;1
óvónő;1
turizmus;0
gépész;1
katona;0
könyvtáros;1
asztrológus;1
régész;1
szépségszalon;1
jog;1
zenész;1
audi kommunikációs osztáy;1
