Sorszám;Munka;Neme;Életkor;Megvalósító vagy célkijelölő;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
84;['Színész'];-;86;célkijelölő;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;mars (kvadrát);szűz;mérleg;skorpió;nyilas;vízöntő;halak;halak;kos;bika;ikrek;oroszlán;szűz;skorpió;kos;mérleg;szűz;bak;skorpió;halak;bika;szűz;rák;nincs hazur;1;4;nincs hazur;nincs hazur;3;3;nincs hazur;nincs hazur;2;2;nincs hazur;2;7;2;1;4;3;6;8;1;12;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;trigon;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-
85;['Szabadúszó '];Nő;30;célkijelölő;nap;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;oroszlán;oroszlán;szűz;skorpió;nyilas;bak;vízöntő;vízöntő;halak;bika;ikrek;mérleg;rák;mérleg;oroszlán;mérleg;szűz;vízöntő;bak;bak;skorpió;1;4;4;4;nincs hazur;3;nincs hazur;7;7;nincs hazur;3;nincs hazur;4;1;4;3;4;3;7;6;6;5;kvadrat;konjukcio;-;-;-;trigon;kvadrat;kvadrat;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;trigon;kvadrat;-;-;-;konjukcio;-;-;-;kvadrat;-;-;-;kvadrat;-;-;trigon;-;-;-;-;-;konjukcio;-;-
86;['Szállodai kereskedelem és marketing'];Férfi;25;megvalósitó;;önfeláldozó;a nap nem sérült;a hold nem sérült;hold;mars (kvadrát);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;szűz;kos;mérleg;rák;rák;bak;kos;vízöntő;bak;nyilas;2;nincs hazur;12;nincs hazur;nincs hazur;nincs hazur;9;5;12;nincs hazur;3;9;2;9;3;12;12;5;9;6;6;4;-;-;-;-;trigon;-;-;-;-;-;kvadrat;kvadrat;-;-;kvadrat;kvadrat;-;-;-;kvadrat;oppozicio;trigon;trigon;-;konjukcio;-;-;oppozicio;oppozicio;-;-;-;oppozicio;oppozicio;-;kvadrat;-;-;-;-;-;trigon;konjukcio;-;-
87;['Rendőr'];Férfi;45;célkijelölő;nap-mars;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;ikrek;oroszlán;ikrek;oroszlán;oroszlán;szűz;bika;oroszlán;skorpió;nyilas;mérleg;12;12;2;2;nincs hazur;nincs hazur;2;2;nincs hazur;11;nincs hazur;nincs hazur;2;12;2;2;3;11;2;5;6;4;-;-;-;-;-;konjukcio;kvadrat;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;konjukcio;kvadrat;trigon;-;-;-;konjukcio;-;trigon;-;-;-;-;kvadrat;-;-;-;-;-;kvadrat;trigon;-;-;-;-
88;['Tanítónő'];Nő;51;célkijelölő;jupiter;kiszolgáltatott;a nap nem sérült;a hold nem sérült;hold;szaturnusz (oppozíció);bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;ikrek;skorpió;ikrek;oroszlán;rák;mérleg;bika;mérleg;skorpió;szűz;4;nincs hazur;nincs hazur;nincs hazur;nincs hazur;5;10;6;7;7;7;9;6;10;5;7;7;9;4;9;11;8;-;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;trigon;oppozicio;-;-;kvadrat;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-;-
89;['Riporter', ' zongoraművész '];-;86;célkijelölő;szaturnusz;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;oroszlán;oroszlán;rák;szűz;skorpió;skorpió;halak;bika;szűz;rák;2;1;1;3;4;nincs hazur;9;nincs hazur;5;nincs hazur;nincs hazur;nincs hazur;1;2;1;3;4;5;9;10;3;1;-;-;-;kvadrat;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;konjukcio;-;-;-;-;konjukcio;-;-;trigon;oppozicio;-;kvadrat;trigon;-;-;-;-;oppozicio;-;-;-;-
90;['Vallási segítő', ' gyógyító', ' kártya vető', ' theta healing szakember'];Nő;65;megvalósító;szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;ikrek;rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;oroszlán;skorpió;szűz;rák;halak;szűz;skorpió;oroszlán;mérleg;oroszlán;5;6;6;4;nincs hazur;nincs hazur;5;nincs hazur;nincs hazur;6;nincs hazur;nincs hazur;4;6;5;2;11;5;6;3;6;4;kvadrat;-;-;-;-;kvadrat;-;-;konjukcio;-;-;trigon;-;konjukcio;trigon;-;kvadrat;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;-;-;-;-;-;trigon;-;kvadrat;kvadrat;-;-
91;['Gyógytornász', ' egyetemi tanár'];Nő;32;célkijelölő;nap;kiszolgáltatott;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;kos;vízöntő;bika;halak;vízöntő;rák;bak;bak;bak;skorpió;nincs hazur;nincs hazur;3;nincs hazur;8;4;4;nincs hazur;3;6;7;nincs hazur;6;3;7;4;4;8;3;2;3;1;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;trigon;oppozicio;-;-;-;-;-;trigon;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;konjukcio;-;-
92;['Történelem tanár'];Nő;59;célkijelölő;jupiter-szaturnusz;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;mérleg;skorpió;nyilas;bak;halak;halak;kos;bika;ikrek;rák;szűz;szűz;rák;bika;ikrek;oroszlán;bika;halak;vízöntő;oroszlán;skorpió;szűz;10;8;nincs hazur;nincs hazur;5;5;nincs hazur;nincs hazur;8;7;nincs hazur;nincs hazur;9;7;8;10;8;5;4;11;1;11;-;-;-;-;trigon;-;-;-;-;-;kvadrat;-;-;kvadrat;-;oppozicio;trigon;-;-;kvadrat;trigon;-;-;kvadrat;-;-;oppozicio;-;-;-;-;-;kvadrat;-;-;-;-;trigon;oppozicio;-;kvadrat;-;-;-;-
93;['Hivatásos sportoló (kosárlabda)'];Férfi;23;megvalósitó;;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;szaturnusz (kvadrát);bika;ikrek;rák;oroszlán;oroszlán;mérleg;skorpió;nyilas;bak;vízöntő;vízöntő;kos;bak;vízöntő;bak;vízöntő;mérleg;halak;kos;vízöntő;vízöntő;nyilas;10;nincs hazur;10;10;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;12;6;10;10;9;10;6;11;12;10;10;7;-;-;-;kvadrat;-;kvadrat;-;konjukcio;-;-;-;-;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;oppozicio;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;-
