Sorszám;Munka;Neme;Életkor;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
18;['testnevelő'];férfi;21;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;halak;vízöntő;kos;nyilas;ikrek;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;6;nincs hazur;nincs hazur;nincs hazur;3;3;2;4;1;3;3;2;4;1;6;6;3;2;1;konjukcio;-;-;kvadrat;kvadrat;-;-;-;-;-;-;kvadrat;kvadrat;kvadrat;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
19;[];nő;20;hold-vénusz;még nem tudjuk kiszámolni;+ nap;a hold nem sérült;ASC;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;kos;kos;kos;bika;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;nincs hazur;1;1;1;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;1;1;1;1;2;3;2;11;11;8;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-
20;[];férfi;20;hold-mars;kiszolgáltatott;a nap nem sérült;+ hold;ASC;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;3;nincs hazur;nincs hazur;8;9;nincs hazur;12;nincs hazur;5;1;12;nincs hazur;1;5;12;12;3;9;8;4;3;2;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;trigon;kvadrat;-;-;kvadrat;konjukcio;-;kvadrat;trigon;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;konjukcio;-;-;-;-;-;trigon;-;oppozicio;-;-;-
21;[];férfi;44;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;bika;oroszlán;kos;ikrek;oroszlán;rák;oroszlán;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;nincs hazur;nincs hazur;5;8;6;7;7;8;6;8;5;7;8;7;9;11;1;10;-;-;-;-;-;kvadrat;-;-;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;trigon;-;-;-;-;-;-;-;oppozicio;trigon;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
22;['tanár'];nő;46;nap-mars;független vagy kiszolgáltatott;a nap nem sérült;- hold;ASC;Nincs anaréta;mérleg;skorpió;nyilas;vízöntő;halak;kos;kos;bika;ikrek;oroszlán;szűz;mérleg;kos;ikrek;kos;halak;rák;bika;rák;skorpió;nyilas;mérleg;nincs hazur;9;nincs hazur;9;7;nincs hazur;nincs hazur;5;nincs hazur;6;6;nincs hazur;6;8;6;5;9;7;9;1;2;1;-;konjukcio;-;kvadrat;-;-;-;trigon;oppozicio;-;-;-;-;-;-;oppozicio;-;-;-;-;kvadrat;-;trigon;-;-;-;trigon;-;-;-;-;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-
23;['műszaki szerelő'];férfi;78;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;bika;bika;ikrek;rák;rák;szűz;skorpió;skorpió;nyilas;bak;kos;halak;kos;halak;ikrek;oroszlán;ikrek;ikrek;mérleg;oroszlán;5;nincs hazur;1;1;nincs hazur;2;2;2;5;5;7;5;2;2;2;1;5;7;5;4;8;7;konjukcio;konjukcio;-;kvadrat;-;-;-;oppozicio;trigon;-;-;kvadrat;-;kvadrat;-;oppozicio;-;-;-;-;-;-;oppozicio;trigon;-;-;-;kvadrat;-;-;-;konjukcio;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-
24;[];nő;19;hold-vénusz;önfeláldozó;+ nap;- hold;nap;uránusz (kvadrát);oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bika;rák;ikrek;ikrek;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;10;10;nincs hazur;10;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;nincs hazur;10;10;12;10;12;10;12;10;7;6;4;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;oppozicio;konjukcio;-;-;trigon;-;-;-;konjukcio;trigon;-;oppozicio;-;-;-;-;-;trigon;oppozicio;-;-;-
25;[];nő;47;nap-mars;önfeláldozó vagy áldozat;+ nap;a hold nem sérült;nap;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;mérleg;bika;skorpió;mérleg;mérleg;halak;rák;mérleg;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;4;11;11;nincs hazur;6;11;1;nincs hazur;11;6;1;11;11;4;9;12;1;11;-;-;-;konjukcio;-;-;-;-;konjukcio;oppozicio;-;-;-;-;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;konjukcio;-;kvadrat;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;-;-
26;['irodai alkalmazott', 'cég felszámolás'];nő;63;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;neptun (kvadrát);bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;halak;oroszlán;kos;bika;ikrek;nyilas;bak;oroszlán;skorpió;szűz;nincs hazur;1;6;3;3;3;7;2;nincs hazur;nincs hazur;nincs hazur;11;2;7;3;3;6;11;1;7;10;8;-;-;-;-;-;kvadrat;-;-;-;trigon;-;-;trigon;-;konjukcio;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;trigon;-;oppozicio;trigon;-;-;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-
27;['fodrász', 'gyári segédmunkás'];nő;19;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;- hold;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;kos;halak;vízöntő;bak;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;4;11;nincs hazur;10;nincs hazur;nincs hazur;5;6;8;7;7;8;6;5;4;11;10;6;5;4;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;trigon;-;-;-;-;trigon;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;oppozicio;-;-;-
